ref_id,trusted_org_name,title,url,date_collected,access_date
1,EUFIC,List of the 14 most common food allergens,https://www.eufic.org/en/healthy-living/article/list-of-the-14-most-common-food-allergens,2025-06-08,2025-12-01
2,WHO/FAO Codex,In brief: priority food allergens,https://www.who.int/publications/i/item/B09009,2024-09-18,2025-12-01
3,Canada.ca Health,Common food allergens,https://www.canada.ca/en/health-canada/services/food-nutrition/food-safety/food-allergies-intolerances/food-allergies.html,2005-06-20,2025-12-01
4,EFSA,Food allergens - EFSA,https://www.efsa.europa.eu/en/safe2eat/food-allergens,2025-04-21,2025-12-01
5,NIFC (Vietnam),Cac chat gay di ung trong thuc pham,https://nifc.gov.vn/xac-dinh-nguyen-nhan-ngo-doc/cac-chat-gay-di-ung-trong-thuc-pham-post2180.html,2024-07-03,2025-12-01
6,FAO/WHO Codex,Review and validation of Codex priority allergen list,https://openknowledge.fao.org/server/api/core/bitstreams/af727c51-9e2b-4d91-bd8c-bdcc43b55466/content,2022-03-28,2025-12-01
7,FARE,Food Allergy Facts & Statistics April 2024,https://www.foodallergy.org/sites/default/files/2024-07/FARE%20Food%20Allergy%20Facts%20and%20Statistics_April2024.pdf,2024-04-01,2025-12-01
8,PMC/NIH,Common food allergens and cross-reactivity,https://pmc.ncbi.nlm.nih.gov/articles/PMC11250430/,2020-08-31,2025-12-01
9,PMC,Characterizing detectable milk protein allergens Î²-casein,https://pmc.ncbi.nlm.nih.gov/articles/PMC12579361/,2024-03-15,2025-12-01
10,ScienceDirect,The Balance Between Caseins and Whey Proteins,https://www.sciencedirect.com/science/article/pii/S002203020572837X,2024-06-12,2025-12-01
11,ACS Publications,Parallel Reaction Monitoring MS for Milk Allergen Detection,https://pubs.acs.org/doi/abs/10.1021/acs.jproteome.9b00844,2022-11-20,2025-12-01
12,Taylor & Francis,"Milk proteins: chemistry, functionality and diverse industrial applications",https://www.tandfonline.com/doi/full/10.1080/23311932.2024.2377686,2024-12-30,2025-12-01
13,Rapid Microbiology,Eggs: a Challenge to Allergen Analysis,https://www.rapidmicrobiology.com/news/eggs-a-challenge-to-allergen-analysis,2020-02-23,2025-12-01
14,PMC,Parvalbumin: A Major Fish Allergen and Forensically Important Marker,https://pmc.ncbi.nlm.nih.gov/articles/PMC9858982/,2023-01-13,2025-12-01
15,PMC,Ovomucoid specific immunoglobulin E as predictor of tolerance to baked eggs,https://pmc.ncbi.nlm.nih.gov/articles/PMC5391491/,2014-12-31,2025-12-01
16,Frontiers in Immunology,"Variable allergenicity of parvalbumins, the major fish allergens",https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2014.00179/pdf,2014-04-15,2025-12-01
17,Allergen Bureau,"Allergy, Allergens & Allergen Management for Food Industry",https://allergenbureau.net/wp-content/uploads/2021/02/Christensen_NZMS-Scientific-Food-Allergen-Seminar-August-2018.pdf,2018-08-15,2025-12-01
18,ScienceDirect,Quantification of major allergen parvalbumin in 22 fish species,https://www.sciencedirect.com/science/article/abs/pii/S0308814615012340,2015-11-01,2025-12-01
19,Thermo Fisher Scientific,f232 Gal d 2 - Ovalbumin,https://www.thermofisher.com/phadia/wo/en/resources/allergen-encyclopedia/f245/f232.html,2024-12-31,2025-12-01
20,Wiley Online Library,Thermostable allergens in canned fish: Evaluating risks,https://onlinelibrary.wiley.com/doi/10.1111/all.15864,2024-08-20,2025-12-01
21,Allergologia et Immunopathologia,Allergy to egg proteins,https://www.elsevier.es/en-revista-allergologia-et-immunopathologia-105-articulo-allergy-to-egg-proteins-13013610,2001-02-28,2025-12-01
22,FAACT,Egg: A Top 9 Food Allergen,https://www.foodallergyawareness.org/food-allergy-and-anaphylaxis/food-allergens/egg/,2012-12-31,2025-12-01
23,Taylor & Francis,Fish allergy in patients with parvalbumin sensitization,https://www.tandfonline.com/doi/full/10.1080/09168451.2016.1189318,2023-09-30,2025-12-01